"","id","subject","etype","group","edate","boxnum","weight","iti","fr","msn","comments","fn","sname","active","inactive","reward","beam1","beam2","beam3","beam4","latency.active","latency.inactive"
"13",13,"13","heroinSA","saline","02-14-23","Box13","220.000",10,1,"FR_SCRIPT_5choice_D:_0.586_E:_0.414_F:_17.000_I:_94.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_11733.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box13_Comments:","heroinSA_FR1_roomE_20230214","heroinSA_FR1_roomE_20230214_13.rDat",17,12,17,"0.000","0.000","0.000","17.000","162.13","338.71"
"14",14,"14","heroinSA","saline","02-14-23","Box14","268.000",10,1,"FR_SCRIPT_5choice_D:_0.348_E:_0.652_F:_31.000_I:_242.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_18157.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box14_Comments:","heroinSA_FR1_roomE_20230214","heroinSA_FR1_roomE_20230214_14.rDat",31,58,31,"0.000","0.000","0.000","31.000","138.58","2.65"
"15",15,"15","heroinSA","saline","02-14-23","Box15","252.000",10,1,"FR_SCRIPT_5choice_D:_0.694_E:_0.306_F:_25.000_I:_124.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_6959.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box15_Comments:","heroinSA_FR1_roomE_20230214","heroinSA_FR1_roomE_20230214_15.rDat",25,11,25,"0.000","0.000","0.000","25.000","212.47","227.25"
"16",1,"1","heroinSA","heroin","02-15-23","Box1","275.000",10,1,"FR_SCRIPT_D:_0.500_E:_0.500_F:_13.000_I:_80.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_8336.000_U:_0.000_V:_0.000_W:_1.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230215","heroinSA_FR1_roomE_20230215_1.rDat",13,13,13,"191015.000","214854.000","80738.000","13.000","243.4","208.68"
"17",2,"2","heroinSA","heroin","02-15-23","Box2","251.000",10,1,"FR_SCRIPT_D:_0.086_E:_0.914_F:_8.000_I:_204.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_3785.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_1.000","\Box11_Comments:","heroinSA_FR1_roomE_20230215","heroinSA_FR1_roomE_20230215_2.rDat",8,85,8,"179111.000","208165.000","113378.000","8.000","40.21","107.22"
"18",3,"5","heroinSA","heroin","02-15-23","Box5","254.000",10,1,"FR_SCRIPT_D:_0.650_E:_0.350_F:_13.000_I:_69.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_11199.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230215","heroinSA_FR1_roomE_20230215_3.rDat",13,7,13,"237362.000","150093.000","37315.000","13.000","47.78","169.93"
"19",4,"6","heroinSA","heroin","02-15-23","Box6","237.000",10,1,"FR_SCRIPT_D:_0.316_E:_0.684_F:_6.000_I:_52.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_245.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230215","heroinSA_FR1_roomE_20230215_4.rDat",6,13,6,"157549.000","219703.000","141206.000","6.000","69.21","353.22"
"20",5,"7","heroinSA","saline","02-15-23","Box7","255.000",10,1,"FR_SCRIPT_D:_0.275_E:_0.725_F:_11.000_I:_104.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_2217.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230215","heroinSA_FR1_roomE_20230215_5.rDat",11,29,11,"68260.000","41442.000","33310.000","11.000","285.15","10.14"
"21",6,"8","heroinSA","heroin","02-15-23","Box8","274.000",10,1,"FR_SCRIPT_D:_0.556_E:_0.444_F:_10.000_I:_58.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_8612.000_U:_0.000_V:_0.000_W:_1.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230215","heroinSA_FR1_roomE_20230215_6.rDat",10,8,10,"136730.000","126183.000","53146.000","10.000","205.99","35.67"
"22",7,"9","heroinSA","saline","02-15-23","Box9","229.000",10,1,"FR_SCRIPT_D:_0.488_E:_0.512_F:_20.000_I:_125.000_J:_0.000_K:_10800.010_L:_0.000_R:_0.000_S:_0.000_T:_13333.000_U:_0.000_V:_0.000_W:_0.000_X:_0.000_Y:_0.000_Z:_0.000","\Box11_Comments:","heroinSA_FR1_roomE_20230215","heroinSA_FR1_roomE_20230215_7.rDat",20,21,20,"188617.000","76644.000","41935.000","20.000","49.18","44.75"
