"subject","e.type","group","boxnum","edate","weight","file name","fr","active","inactive","reward","beam1","beam2","beam3","beam4","latency to first active","latency to first inactive","act0-600","act600-1200","act1200-1800","act1800-2400","act2400-3000","act3000-3600","act3600-4200","act4200-4800","act4800-5400","act5400-6000","act6000-6600","act6600-7200","act7200-7800","act7800-8400","act8400-9000","act9000-9600","act9600-10200","act10200-10800","inact0-600","inact600-1200","inact1200-1800","inact1800-2400","inact2400-3000","inact3000-3600","inact3600-4200","inact4200-4800","inact4800-5400","inact5400-6000","inact6000-6600","inact6600-7200","inact7200-7800","inact7800-8400","inact8400-9000","inact9000-9600","inact9600-10200","inact10200-10800","rew0-600","rew600-1200","rew1200-1800","rew1800-2400","rew2400-3000","rew3000-3600","rew3600-4200","rew4200-4800","rew4800-5400","rew5400-6000","rew6000-6600","rew6600-7200","rew7200-7800","rew7800-8400","rew8400-9000","rew9000-9600","rew9600-10200","rew10200-10800","comments"
"15","heroinSA","saline","Box15","01-18-22","254","heroinSA_FR1_roomE_20220118","1","75","10","42","0","0","0","42","92.58","92.58","1","1","0","18","5","10","9","5","2","0","10","0","6","2","2","0","3","1","5","5","0","20","7","10","9","5","10","0","10","0","6","2","2","0","3","1","1","1","0","18","5","10","9","5","2","0","10","0","6","2","2","0","3","1","\Box15_Comments:"
"1","heroinSA","heroin","Box1","01-19-22","248","heroinSA_FR1_roomE_20220119","1","55","18","26","248094","216667","44538","26","66.89","9.93","6","4","0","3","2","2","3","2","0","2","3","14","0","1","5","2","2","4","16","4","0","3","4","4","3","4","0","8","3","14","0","1","9","10","2","6","6","4","0","3","2","2","3","2","0","2","3","14","0","1","5","2","2","4","\Box1_Comments:"
"2","heroinSA","heroin","Box2","01-19-22","278","heroinSA_FR1_roomE_20220119","1","89","32","40","177992","157801","71218","40","39.22","39.22","10","4","5","2","3","6","5","7","7","3","0","7","0","5","11","6","0","8","14","10","5","2","3","10","7","7","13","3","0","21","0","31","13","6","0","8","10","4","5","2","3","6","5","7","7","3","0","7","0","5","11","6","0","8","\Box2_Comments:"
"3","heroinSA","heroin","Box3","01-19-22","265","heroinSA_FR1_roomE_20220119","1","38","32","15","201983","254428","98142","15","198.75","104.23","2","4","0","1","2","5","0","0","0","12","0","4","0","5","0","1","0","2","6","4","0","1","8","7","0","0","2","48","0","4","0","5","0","3","0","14","2","4","0","1","2","5","0","0","0","12","0","4","0","5","0","1","0","2","\Box3_Comments:"
"4","heroinSA","heroin","Box4","01-19-22","242","heroinSA_FR1_roomE_20220119","1","47","6","26","132258","220904","122247","26","12.07","12.07","7","7","0","2","2","1","0","3","0","2","2","1","7","0","0","7","6","0","7","7","0","2","2","3","0","5","0","6","2","1","9","0","0","9","6","0","7","7","0","2","2","1","0","3","0","2","2","1","7","0","0","7","6","0","\Box4_Comments:"
"5","heroinSA","heroin","Box5","01-19-22","279","heroinSA_FR1_roomE_20220119","1","50","18","39","271414","136201","35963","39","483.56","432.82","3","2","1","3","2","4","2","2","4","1","3","0","5","2","4","4","3","5","5","2","1","3","2","6","4","10","4","7","5","2","9","2","4","10","5","5","3","2","1","3","2","4","2","2","4","1","3","0","5","2","4","4","3","5","\Box5_Comments:"
"6","heroinSA","heroin","Box6","01-19-22","256","heroinSA_FR1_roomE_20220119","1","97","0","39","239764","18052","3821","39","127.62","127.62","12","4","8","3","8","2","7","9","7","2","2","2","5","1","11","0","4","10","12","4","8","3","8","2","7","9","7","2","2","2","5","1","11","0","4","10","12","4","8","3","8","2","7","9","7","2","2","2","5","1","11","0","4","10","\Box6_Comments:"
"7","heroinSA","heroin","Box7","01-19-22","283","heroinSA_FR1_roomE_20220119","1","64","10","25","205647","116374","75822","25","100.77","69.85","11","6","0","3","3","4","0","0","22","0","7","0","0","2","3","1","1","1","31","6","0","3","3","4","0","0","22","0","7","0","0","2","3","1","1","1","11","6","0","3","3","4","0","0","22","0","7","0","0","2","3","1","1","1","\Box7_Comments:"
"8","heroinSA","heroin","Box8","01-19-22","249","heroinSA_FR1_roomE_20220119","1","113","23","47","186559","133242","45066","47","28.18","28.18","11","5","4","2","5","15","1","6","0","3","4","6","1","17","3","18","7","5","15","5","8","2","5","15","1","6","0","3","4","10","1","17","3","40","17","7","11","5","4","2","5","15","1","6","0","3","4","6","1","17","3","18","7","5","\Box8_Comments:"
"9","heroinSA","heroin","Box9","01-19-22","263","heroinSA_FR1_roomE_20220119","1","111","9","40","200606","116246","57851","40","158.25","19.07","14","5","11","0","4","5","5","0","9","0","5","27","0","0","4","0","19","3","26","5","11","0","4","5","5","0","15","0","5","27","0","0","4","0","19","3","14","5","11","0","4","5","5","0","9","0","5","27","0","0","4","0","19","3","\Box9_Comments:"
"10","heroinSA","saline","Box10","01-19-22","249","heroinSA_FR1_roomE_20220119","1","23","7","19","63558","233437","215243","19","19.54","19.54","2","6","6","0","0","0","1","0","4","0","0","0","0","2","2","0","0","0","2","6","10","0","0","0","1","0","4","0","0","0","0","12","2","0","0","0","2","6","6","0","0","0","1","0","4","0","0","0","0","2","2","0","0","0","\Box10_Comments:"
"11","heroinSA","saline","Box11","01-19-22","285","heroinSA_FR1_roomE_20220119","1","33","21","29","0","0","0","29","302.64","287.36","5","6","5","2","1","2","0","2","2","0","0","1","2","3","0","1","1","0","13","14","9","2","1","4","0","8","8","0","2","1","2","3","0","3","5","0","5","6","5","2","1","2","0","2","2","0","0","1","2","3","0","1","1","0","\Box11_Comments:"
"12","heroinSA","saline","Box12","01-19-22","280","heroinSA_FR1_roomE_20220119","1","21","13","17","0","0","0","17","37.09","37.09","2","3","1","1","0","1","0","1","0","0","5","5","0","0","0","2","0","0","6","5","1","3","0","7","0","1","0","0","5","7","0","0","0","12","0","0","2","3","1","1","0","1","0","1","0","0","5","5","0","0","0","2","0","0","\Box12_Comments:"
"13","heroinSA","saline","Box13","01-19-22","295","heroinSA_FR1_roomE_20220119","1","56","16","39","0","0","0","39","21.15","21.15","9","7","4","5","0","2","0","5","8","5","2","0","2","1","5","0","0","1","13","9","4","9","0","6","0","11","8","5","6","0","2","1","11","2","0","1","9","7","4","5","0","2","0","5","8","5","2","0","2","1","5","0","0","1","\Box13_Comments:"
"14","heroinSA","saline","Box14","01-19-22","275","heroinSA_FR1_roomE_20220119","1","45","23","28","0","0","0","28","12.24","12.24","6","11","3","0","0","7","0","7","0","0","7","0","2","0","0","0","2","0","14","23","5","0","0","9","0","9","0","0","15","4","8","0","2","0","2","0","6","11","3","0","0","7","0","7","0","0","7","0","2","0","0","0","2","0","\Box14_Comments:"
"15","heroinSA","saline","Box15","01-19-22","252","heroinSA_FR1_roomE_20220119","1","31","24","24","0","0","0","24","107.31","100.98","7","8","1","3","0","0","2","0","1","1","5","0","1","0","1","1","0","0","15","18","7","5","0","0","4","0","1","5","9","6","5","0","1","3","0","0","7","8","1","3","0","0","2","0","1","1","5","0","1","0","1","1","0","0","\Box15_Comments:"
"1","heroinSA","heroin","Box1","01-21-22","242","heroinSA_FR1_roomE_20220121","1","21","49","21","223171","219448","60076","21","40.02","0.22","4","1","0","1","0","1","3","0","1","3","0","2","0","1","1","1","2","0","16","17","0","15","2","5","15","2","1","7","0","4","4","9","7","11","2","2","4","1","0","1","0","1","3","0","1","3","0","2","0","1","1","1","2","0","\Box1_Comments:"
"2","heroinSA","heroin","Box2","01-21-22","272","heroinSA_FR1_roomE_20220121","1","38","10","38","171125","211501","106379","38","32.18","32.18","5","1","1","1","6","0","3","2","2","0","2","1","2","4","0","0","4","4","12","1","1","1","6","0","3","2","2","0","2","1","12","9","0","0","4","4","5","1","1","1","6","0","3","2","2","0","2","1","2","4","0","0","4","4","\Box2_Comments:"
"3","heroinSA","heroin","Box3","01-21-22","258","heroinSA_FR1_roomE_20220121","1","21","8","21","250264","235174","30631","21","18.16","18.16","5","0","0","2","0","0","2","1","0","1","1","2","0","1","3","0","2","1","7","0","0","2","0","0","2","1","0","15","1","2","0","1","3","0","2","1","5","0","0","2","0","0","2","1","0","1","1","2","0","1","3","0","2","1","\Box3_Comments:"
"4","heroinSA","heroin","Box4","01-21-22","235","heroinSA_FR1_roomE_20220121","1","21","0","21","200648","183568","46283","21","124.08","124.08","3","0","1","1","0","2","0","1","0","1","0","4","0","1","0","1","0","6","3","0","1","1","0","2","0","1","0","1","0","4","0","1","0","1","0","6","3","0","1","1","0","2","0","1","0","1","0","4","0","1","0","1","0","6","\Box4_Comments:"
"5","heroinSA","heroin","Box5","01-21-22","264","heroinSA_FR1_roomE_20220121","1","28","23","28","242371","183318","54332","28","0.9","0.9","3","1","0","2","2","3","1","1","1","0","3","1","2","2","1","3","0","2","3","1","2","2","10","13","1","3","7","4","3","1","8","4","1","7","2","2","3","1","0","2","2","3","1","1","1","0","3","1","2","2","1","3","0","2","\Box5_Comments:"
"6","heroinSA","heroin","Box6","01-21-22","257","heroinSA_FR1_roomE_20220121","1","24","5","24","278268","105795","18507","24","58.59","58.59","2","2","0","5","0","2","0","2","1","1","1","1","1","2","1","2","0","1","6","2","0","5","0","2","0","2","1","1","1","1","1","2","7","2","0","1","2","2","0","5","0","2","0","2","1","1","1","1","1","2","1","2","0","1","\Box6_Comments:"
