"subject","e.type","group","boxnum","edate","weight","file name","fr","active","inactive","reward","beam1","beam2","beam3","beam4","latency to first active","latency to first inactive","act0-600","act600-1200","act1200-1800","act1800-2400","act2400-3000","act3000-3600","act3600-4200","act4200-4800","act4800-5400","act5400-6000","act6000-6600","act6600-7200","act7200-7800","act7800-8400","act8400-9000","act9000-9600","act9600-10200","act10200-10800","inact0-600","inact600-1200","inact1200-1800","inact1800-2400","inact2400-3000","inact3000-3600","inact3600-4200","inact4200-4800","inact4800-5400","inact5400-6000","inact6000-6600","inact6600-7200","inact7200-7800","inact7800-8400","inact8400-9000","inact9000-9600","inact9600-10200","inact10200-10800","rew0-600","rew600-1200","rew1200-1800","rew1800-2400","rew2400-3000","rew3000-3600","rew3600-4200","rew4200-4800","rew4800-5400","rew5400-6000","rew6000-6600","rew6600-7200","rew7200-7800","rew7800-8400","rew8400-9000","rew9000-9600","rew9600-10200","rew10200-10800","comments"
"15","heroinSA","saline","Box15","02-14-23","252","heroinSA_FR1_roomE_20230214","1","25","11","25","0","0","0","25","212.47","212.47","2","3","3","0","1","3","0","1","5","0","2","0","1","2","0","1","1","0","4","3","9","0","1","11","0","3","5","0","2","0","3","2","2","1","1","0","2","3","3","0","1","3","0","1","5","0","2","0","1","2","0","1","1","0","\Box15_Comments:"
"1","heroinSA","heroin","Box1","02-15-23","275","heroinSA_FR1_roomE_20230215","1","13","13","13","191015","214854","80738","13","243.4","208.68","1","1","2","0","1","0","1","0","2","0","0","1","0","1","1","0","2","0","7","1","2","0","5","0","1","0","10","0","2","1","0","5","3","0","2","0","1","1","2","0","1","0","1","0","2","0","0","1","0","1","1","0","2","0","\Box11_Comments:"
"2","heroinSA","heroin","Box2","02-15-23","251","heroinSA_FR1_roomE_20230215","1","8","85","8","179111","208165","113378","8","40.21","40.21","1","1","0","1","0","0","0","2","0","1","0","0","1","0","0","0","0","1","5","17","0","1","0","22","0","96","0","21","0","0","9","0","0","0","0","7","1","1","0","1","0","0","0","2","0","1","0","0","1","0","0","0","0","1","\Box11_Comments:"
"5","heroinSA","heroin","Box5","02-15-23","254","heroinSA_FR1_roomE_20230215","1","13","7","13","237362","150093","37315","13","47.78","47.78","3","1","1","0","0","1","0","1","2","0","0","0","1","2","0","0","1","0","8","1","1","0","2","1","0","1","2","0","0","4","5","2","0","0","1","0","3","1","1","0","0","1","0","1","2","0","0","0","1","2","0","0","1","0","\Box11_Comments:"
"6","heroinSA","heroin","Box6","02-15-23","237","heroinSA_FR1_roomE_20230215","1","6","13","6","157549","219703","141206","6","69.21","69.21","2","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","4","6","0","3","0","2","4","5","0","1","0","0","0","4","0","1","0","2","2","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","\Box11_Comments:"
"7","heroinSA","saline","Box7","02-15-23","255","heroinSA_FR1_roomE_20230215","1","11","29","11","68260","41442","33310","11","285.15","10.14","2","0","0","0","0","0","0","0","0","0","0","0","5","0","0","2","1","1","34","0","2","2","0","0","0","10","0","0","0","0","11","0","2","2","1","5","2","0","0","0","0","0","0","0","0","0","0","0","5","0","0","2","1","1","\Box11_Comments:"
"8","heroinSA","heroin","Box8","02-15-23","274","heroinSA_FR1_roomE_20230215","1","10","8","10","136730","126183","53146","10","205.99","35.67","1","1","0","2","1","0","0","1","0","1","0","0","0","0","2","0","1","0","3","1","0","8","1","2","0","1","0","3","0","2","0","0","4","0","1","0","1","1","0","2","1","0","0","1","0","1","0","0","0","0","2","0","1","0","\Box11_Comments:"
"9","heroinSA","saline","Box9","02-15-23","229","heroinSA_FR1_roomE_20230215","1","20","21","20","188617","76644","41935","20","49.18","44.75","6","1","3","2","2","0","0","0","0","2","1","0","0","0","0","3","0","0","10","3","5","6","8","0","0","0","2","10","4","2","0","0","0","13","0","0","6","1","3","2","2","0","0","0","0","2","1","0","0","0","0","3","0","0","\Box11_Comments:"
"10","heroinSA","heroin","Box10","02-15-23","253","heroinSA_FR1_roomE_20230215","1","10","5","10","126599","36681","17584","10","4.54","4.54","4","0","1","2","0","0","0","0","0","0","0","1","1","1","0","0","0","0","8","2","3","2","0","0","0","0","0","0","0","1","1","1","0","0","2","0","4","0","1","2","0","0","0","0","0","0","0","1","1","1","0","0","0","0","\Box11_Comments:"
"3","heroinSA","heroin","Box3","02-15-23","250","heroinSA_FR1_roomE_20230215","1","8","16","8","151098","107776","73636","8","106.3","106.3","1","0","0","1","0","1","0","0","2","0","0","0","0","0","2","0","0","1","5","0","0","11","0","1","0","6","4","0","2","2","2","2","2","0","0","3","1","0","0","1","0","1","0","0","2","0","0","0","0","0","2","0","0","1","\Box3_Comments:"
